iter	Passed	Remaining
419	2381	14631
420	2386	14619
421	2390	14605
422	2396	14599
423	2400	14585
424	2404	14570
425	2409	14557
426	2413	14542
427	2417	14528
428	2422	14515
429	2426	14503
430	2430	14488
431	2435	14475
432	2439	14461
433	2443	14447
434	2447	14434
435	2452	14422
436	2456	14408
437	2461	14395
438	2465	14383
439	2470	14371
440	2474	14357
441	2478	14344
442	2482	14331
443	2487	14319
444	2491	14306
445	2496	14293
446	2500	14281
447	2504	14268
448	2509	14257
449	2513	14244
450	2518	14231
451	2522	14218
452	2526	14204
453	2530	14191
454	2534	14178
455	2539	14166
456	2543	14154
457	2547	14140
458	2552	14128
459	2556	14116
460	2561	14107
461	2565	14094
462	2570	14084
463	2574	14071
464	2578	14058
465	2583	14046
466	2587	14033
467	2591	14020
468	2595	14008
469	2599	13995
470	2604	13986
471	2608	13973
472	2614	13967
473	2618	13954
474	2622	13941
475	2626	13929
476	2631	13916
477	2635	13904
478	2639	13892
479	2643	13880
480	2647	13867
481	2652	13855
482	2656	13843
483	2660	13831
484	2664	13819
485	2669	13806
486	2673	13795
487	2677	13784
488	2681	13771
489	2687	13767
490	2691	13755
491	2695	13742
492	2700	13730
493	2704	13718
494	2708	13706
495	2712	13694
496	2716	13682
497	2720	13670
498	2725	13659
499	2729	13648
500	2733	13635
501	2737	13624
502	2742	13612
503	2746	13600
504	2750	13588
505	2754	13577
506	2758	13564
507	2762	13553
508	2766	13541
509	2771	13531
510	2775	13520
511	2779	13508
512	2784	13497
513	2788	13486
514	2792	13474
515	2796	13462
516	2800	13451
517	2805	13440
518	2809	13428
519	2813	13417
520	2817	13406
521	2821	13394
522	2825	13383
523	2830	13372
524	2834	13363
525	2839	13353
526	2843	13341
527	2847	13330
528	2851	13319
529	2856	13311
530	2860	13300
531	2864	13289
532	2868	13278
533	2873	13269
534	2877	13259
535	2883	13253
536	2887	13242
537	2891	13231
538	2895	13221
539	2899	13210
540	2904	13199
541	2908	13188
542	2912	13178
543	2916	13167
544	2920	13157
545	2956	13288
546	2964	13295
547	2982	13344
548	2990	13352
549	2997	13351
550	3001	13339
551	3005	13328
552	3009	13317
553	3013	13306
554	3018	13295
555	3022	13285
556	3026	13274
557	3030	13262
558	3034	13251
559	3038	13240
560	3043	13230
561	3047	13220
562	3051	13208
563	3055	13198
564	3059	13187
565	3064	13176
566	3068	13166
567	3072	13155
568	3076	13146
569	3081	13135
570	3085	13124
571	3090	13117
572	3094	13105
573	3098	13095
574	3102	13085
575	3106	13074
576	3111	13064
577	3115	13053
578	3119	13043
579	3123	13033
580	3127	13022
581	3132	13012
582	3136	13002
583	3140	12991
584	3144	12981
585	3148	12971
586	3152	12961
587	3157	12951
588	3161	12941
589	3165	12931
590	3169	12921
591	3174	12911
592	3178	12902
593	3183	12893
594	3187	12883
595	3191	12874
596	3196	12868
597	3201	12858
598	3206	12851
599	3210	12841
600	3214	12832
601	3219	12823
602	3223	12813
603	3227	12803
604	3231	12793
605	3236	12783
606	3240	12774
607	3244	12764
608	3248	12754
609	3252	12744
610	3257	12735
611	3261	12726
612	3265	12716
613	3270	12707
614	3274	12697
615	3279	12690
616	3283	12680
617	3287	12671
618	3291	12662
619	3296	12653
620	3300	12643
621	3304	12634
622	3308	12624
623	3313	12615
624	3317	12606
625	3321	12596
626	3325	12586
627	3329	12577
628	3334	12568
629	3338	12558
630	3343	12553
631	3348	12544
632	3352	12536
633	3356	12527
634	3361	12518
635	3366	12511
636	3370	12504
637	3376	12499
638	3386	12511
639	3397	12528
640	3406	12536
641	3414	12542
642	3423	12550
643	3435	12569
644	3444	12575
645	3452	12579
646	3456	12570
647	3461	12563
648	3466	12559
649	3471	12549
650	3475	12540
651	3479	12531
652	3484	12523
653	3488	12513
654	3492	12504
655	3496	12494
656	3500	12485
657	3505	12476
658	3509	12466
659	3513	12457
660	3517	12448
661	3522	12439
662	3528	12438
663	3534	12435
664	3541	12434
665	3547	12431
666	3553	12428
667	3559	12424
668	3564	12419
669	3568	12410
670	3573	12402
671	3577	12394
672	3583	12391
673	3589	12388
674	3595	12384
675	3601	12380
676	3607	12377
677	3613	12374
678	3619	12371
679	3624	12366
680	3630	12363
681	3636	12359
682	3641	12355
683	3647	12351
684	3653	12346
685	3659	12344
686	3665	12342
687	3671	12339
688	3678	12336
689	3684	12335
690	3690	12333
691	3697	12330
692	3703	12327
693	3709	12325
694	3716	12325
695	3722	12323
696	3729	12321
697	3735	12318
698	3739	12310
699	3743	12301
700	3748	12292
701	3752	12284
702	3757	12276
703	3761	12267
704	3765	12258
705	3769	12249
706	3774	12240
707	3778	12232
708	3783	12225
709	3788	12217
710	3792	12209
711	3796	12200
712	3800	12191
713	3805	12183
714	3809	12174
715	3813	12166
716	3818	12158
717	3822	12149
718	3827	12142
719	3831	12134
720	3836	12125
721	3840	12116
722	3844	12108
723	3848	12099
724	3854	12095
725	3858	12087
726	3863	12078
727	3867	12070
728	3871	12061
729	3876	12052
730	3880	12044
731	3884	12035
732	3889	12028
733	3893	12019
734	3897	12011
735	3902	12003
736	3906	11995
737	3910	11986
738	3915	11978
739	3919	11971
740	4055	12362
741	4069	12384
742	4077	12385
743	4094	12415
744	4102	12417
745	4110	12420
746	4116	12414
747	4122	12410
748	4128	12406
749	4133	12400
750	4139	12397
751	4146	12396
752	4155	12401
753	4161	12395
754	4166	12389
755	4171	12383
756	4180	12386
757	4188	12388
758	4197	12393
759	4206	12398
760	4215	12403
761	4224	12408
762	4234	12414
763	4239	12408
764	4250	12417
765	4262	12432
766	4271	12434
767	4281	12441
768	4289	12443
769	4299	12452
770	4309	12458
771	4318	12463
772	4326	12463
773	4333	12462
774	4338	12456
775	4343	12447
776	4349	12443
777	4354	12436
778	4359	12429
779	4365	12425
780	4370	12418
781	4376	12412
782	4380	12403
783	4385	12395
784	4389	12386
785	4394	12377
786	4398	12369
787	4403	12360
788	4407	12352
789	4412	12344
790	4416	12334
791	4421	12326
792	4425	12316
793	4430	12309
794	4434	12300
795	4439	12291
796	4443	12283
797	4448	12275
798	4453	12266
799	4457	12257
800	4462	12250
801	4466	12241
802	4471	12232
803	4478	12233
804	4487	12235
805	4541	12362
806	4551	12367
807	4559	12368
808	4568	12373
809	4576	12374
810	4587	12382
811	4596	12385
812	4601	12376
813	4605	12367
814	4610	12359
815	4614	12350
816	4618	12341
817	4623	12332
818	4627	12323
819	4631	12314
820	4636	12305
821	4640	12295
822	4644	12286
823	4649	12277
824	4653	12268
825	4657	12259
826	4662	12250
827	4666	12241
828	4671	12232
829	4675	12223
830	4679	12214
831	4684	12205
832	4688	12196
833	4692	12187
834	4697	12178
835	4701	12169
836	4706	12162
837	4713	12159
